station,n,baseline_mae,xgb_delta_cluster_v3_mae,gain,alpha,base_eps,adaptive_eps
20891,365,1.3630136986301367,1.3766368454678162,-0.013623146837679512,0.0,0.005,0.008102457661519848
22641,365,0.9123287671232877,0.9267933995992087,-0.014464632475921002,0.0,0.005,0.009505074394805729
22217,365,0.6638356164383561,0.6794147212243612,-0.015579104786005105,0.0,0.005,0.008608504748880128
23324,365,1.0906849315068494,1.1063983727466715,-0.0157134412398221,0.0,0.005,0.009403244898427327
27823,365,0.8172602739726026,0.8334077385003671,-0.0161474645277645,0.0,0.005,0.011098085311227367
27333,253,1.066403162055336,1.0847685839361494,-0.01836542188081336,0.0,0.005,0.006959844978024748
28411,327,0.9865443425076453,1.0065290686409547,-0.019984726133309372,0.0,0.005,0.015466311214208706
28493,365,1.0054794520547945,1.0316249210324795,-0.026145468977684994,0.0,0.005,0.01263260641777669
26258,365,0.6767123287671234,0.704736500158348,-0.028024171391224595,0.0,0.005,0.015773101941678448
33008,365,0.4208219178082191,0.44944703872462294,-0.028625120916403846,0.0,0.005,0.009034523250116569
32389,365,1.043013698630137,1.0763551006335703,-0.033341402003433274,0.0,0.005,0.006959844978024748
30758,365,0.9413698630136985,0.9797710646808863,-0.038401201667187745,0.0,0.005,0.011961329366382667
22820,365,0.45999999999999996,0.5008072324197943,-0.04080723241979434,0.0,0.005,0.01260270072665503
28698,365,0.9041095890410958,0.9518610976416496,-0.04775150860055377,0.0,0.005,0.010986194673701648
24125,364,0.6497252747252746,0.707953446567494,-0.0582281718422194,0.0,0.005,0.015242283107750366
34009,327,0.9467889908256881,1.009718255947995,-0.06292926512230679,0.0,0.005,0.026959844978024748
37099,179,0.8184357541899442,0.9594979646256683,-0.1410622104357241,0.0,0.005,0.021006143611848587
20674,365,0.7863013698630137,0.9882700796359957,-0.20196870977298198,0.0,0.005,0.02475739794258553
