station,status,n_test,baseline_RMSE,baseline_MAE,loso_RMSE,loso_MAE,loso_RMSE_gain_vs_baseline,loso_MAE_gain_vs_baseline
30823,ok,730,0.9298401689140061,0.6843835616438357,0.923880417177992,0.6977080722626343,0.005959751736014152,-0.01332451061879858
22802,ok,730,0.4613559526748226,0.3441095890410959,0.47338934685577233,0.3603072122115903,-0.01203339418094973,-0.01619762317049439
32165,ok,730,1.2154935859700151,0.8838356164383561,1.2406338994019481,0.9018048342946623,-0.025140313431933015,-0.01796921785630623
34123,ok,730,0.7792954316964869,0.5976712328767123,0.7984361402730309,0.6162460497661002,-0.01914070857654404,-0.01857481688938789
28698,ok,730,1.0010610808892895,0.6938356164383561,1.0159967237780385,0.7139673649167406,-0.014935642888749046,-0.020131748478384504
37031,ok,728,1.0656667417141272,0.8155219780219781,1.0650999183509684,0.8360537978203886,0.0005668233631588304,-0.020531819798410456
27823,ok,728,1.07232288683324,0.8221153846153846,1.084666443233418,0.8428065862813977,-0.012343556400178146,-0.020691201666013126
30054,ok,730,1.538768409858378,1.0726027397260274,1.5700249045406518,1.0966048304696745,-0.03125649468227376,-0.02400209074364712
29570,ok,730,2.6142811159905235,1.9046575342465755,2.6202527493029075,1.9290588144198926,-0.005971633312384039,-0.024401280173317108
30758,ok,730,1.5214133659650118,0.9749315068493152,1.5304633170821016,0.9999389287911048,-0.009049951117089838,-0.02500742194178962
22113,ok,730,1.7070723155188707,1.048082191780822,1.6994573210421877,1.07398990272036,0.0076149944766830124,-0.02590771093953803
23891,ok,728,1.9576245697385277,1.3913461538461538,1.991849734335377,1.4181857759867291,-0.03422516459684921,-0.026839622140575337
22820,ok,730,0.5508896913673321,0.3863013698630137,0.5750902123259388,0.41451564860616513,-0.024200520958606697,-0.02821427874315141
28493,ok,728,1.428949125894832,1.003021978021978,1.4549085338641006,1.0313857852207378,-0.025959407969268655,-0.02836380719875975
31329,ok,729,1.3410936715754211,0.9716049382716049,1.3796238712223043,1.000604223713869,-0.0385301996468832,-0.028999285442264155
21982,ok,728,1.8761370178881152,1.3832417582417582,1.903928272269338,1.4128590784446435,-0.027791254381222874,-0.029617320202885322
28661,ok,728,1.2415096269647503,0.888186813186813,1.2711621844376142,0.9195215615361692,-0.029652557472863883,-0.03133474834935612
26477,ok,730,0.5498692248012809,0.3813698630136986,0.5808599409208052,0.4136904366567017,-0.03099071611952431,-0.032320573643003114
