station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
30758,365,0.9413698630136985,0.9413698630136985,0.9669182297941006,baseline,0.9413698630136985,1,0.0
29430,365,0.6326027397260273,0.6326027397260273,0.6512467679476681,baseline,0.6326027397260273,1,0.0
32389,365,1.043013698630137,1.043013698630137,1.0514945210946693,baseline,1.043013698630137,1,0.0
36034,365,1.4611832748827756,1.4816438356164385,1.4613128048499189,seasonal,1.4613128048499189,1,-0.00012952996714332699
24959,365,1.1900157971845378,1.2219178082191782,1.1901475821984946,seasonal,1.1901475821984946,1,-0.00013178501395683107
29698,365,1.4381379920608452,1.4712328767123288,1.439798398125487,seasonal,1.439798398125487,1,-0.001660406064641684
30823,365,1.1028624014574906,1.2115068493150685,1.1047399309684964,seasonal,1.1047399309684964,1,-0.0018775295110058376
31004,365,1.1966915333301007,1.232054794520548,1.200178904062418,seasonal,1.200178904062418,0,-0.0034873707323173075
28224,321,1.0380933154046512,1.0457943925233646,1.0418591730746174,seasonal,1.0418591730746174,0,-0.003765857669966177
30710,365,1.0449567473665429,1.2413698630136987,1.0489610309228117,seasonal,1.0489610309228117,0,-0.004004283556268806
30965,365,1.5318129252007051,1.5865753424657534,1.5359441264233167,seasonal,1.5359441264233167,0,-0.004131201222611569
24966,339,1.794408271330715,1.8380530973451328,1.798612433845919,seasonal,1.798612433845919,0,-0.004204162515204057
31253,337,1.1304314525046961,1.1477744807121661,1.1349062678097215,seasonal,1.1349062678097215,0,-0.004474815305025359
24266,365,1.9632654119104351,2.0021917808219176,1.9685143355405117,seasonal,1.9685143355405117,0,-0.005248923630076563
23955,365,1.3355723534043469,1.3512328767123285,1.3411714683649933,seasonal,1.3411714683649933,0,-0.005599114960646467
24951,365,1.5471342788179314,1.5734246575342465,1.5540729461803522,seasonal,1.5540729461803522,0,-0.0069386673624207695
23724,365,1.0641961768844916,1.0712328767123287,1.1023890837289119,baseline,1.0712328767123287,0,-0.007036699827837056
31532,365,1.5268745575345137,1.552876712328767,1.5343044340295444,seasonal,1.5343044340295444,0,-0.007429876495030685
23631,365,0.9345444544688608,0.942191780821918,0.9432041612109543,baseline,0.942191780821918,0,-0.007647326353057204
32411,365,1.2455884422981243,1.2542465753424659,1.2572767219746988,baseline,1.2542465753424659,0,-0.008658133044341598
29231,365,1.3744928603922335,1.4005479452054792,1.3833527829445587,seasonal,1.3833527829445587,0,-0.00885992255232515
31915,365,1.1478647060787994,1.1893150684931508,1.1569849467943158,seasonal,1.1569849467943158,0,-0.009120240715516426
32098,365,1.503452255847443,1.5421917808219177,1.512674374109661,seasonal,1.512674374109661,0,-0.009222118262218082
26063,365,0.4983153562553941,0.6131506849315069,0.5075523592706732,seasonal,0.5075523592706732,0,-0.009237003015279133
23921,364,1.3684679090487308,1.3782967032967033,1.3877738598828362,baseline,1.3782967032967033,0,-0.00982879424797245
29282,365,1.2877349807391554,1.2978082191780822,1.297868029421127,baseline,1.2978082191780822,0,-0.010073238438926824
27333,253,1.0560528369878006,1.066403162055336,1.0963476681887037,baseline,1.066403162055336,0,-0.010350325067535415
31088,365,0.9821070150979907,0.9997260273972604,0.9927048413855841,seasonal,0.9927048413855841,0,-0.010597826287593426
