station,n_train,rp5_mean,rp5_std,hydromet_mean,baseline_mae,baseline_bias,cluster_id
30521,2915,-1.7084734133790738,16.37899998777132,-1.6824699828473413,1.3831903945111492,-0.026003430531732413,0
30636,2580,-2.8903875968992248,16.303925902975354,-2.884418604651163,1.2945736434108528,-0.005968992248061991,0
30673,2835,-3.749276895943563,16.882351698654936,-3.7448324514991183,1.3635978835978837,-0.004444444444444481,0
30777,2840,-1.7510211267605633,16.96240977000652,-1.7415845070422538,1.2428169014084505,-0.009436619718309868,0
30965,2878,-0.8454134815844336,16.681595619574303,-0.8433981931897151,1.5051424600416954,-0.0020152883947185565,0
31004,2788,-4.474641319942611,16.332822247753786,-4.430523672883788,1.2974175035868005,-0.0441176470588235,0
31253,2759,-3.332294309532439,17.892152465847666,-3.3158753171438926,1.0441101848495833,-0.01641899238854658,0
31329,2666,-4.257164291072768,17.60807110861007,-4.362790697674419,1.1131282820705175,0.1056264066016504,0
31388,2645,-1.89289224952741,18.023520168493835,-1.98351606805293,1.2772400756143667,0.09062381852551987,0
31416,2876,-1.2372392211404728,16.232551747532437,-1.2202712100139081,1.4794853963838666,-0.01696801112656463,0
31532,2876,-2.330180806675939,18.30746676186696,-2.3066759388038944,1.409596662030598,-0.023504867872044505,0
22217,2757,1.9295611171563294,10.004782614837586,1.9092491838955388,0.3669205658324266,0.020311933260790695,1
22550,2859,2.619412381951731,10.250644940586481,2.6532353969919553,0.7801678908709339,-0.03382301504022384,1
22602,2783,3.6096658282429037,9.971381226385095,3.586633129716134,0.40794107078692066,0.023032698526769677,1
22641,2355,2.629766454352442,9.950069983733895,2.640339702760085,0.6736730360934182,-0.010573248407643319,1
22802,2922,5.269130732375086,9.05417707034213,5.280116358658453,0.33521560574948667,-0.010985626283367562,1
22820,2744,4.827259475218659,9.30660079963502,4.6873542274052475,0.4888848396501458,0.13990524781341107,1
22837,2711,5.202655846551088,10.199898358474561,4.72939874585024,1.0378458133530062,0.4732571007008484,1
